race_id,year,circuit_name,driver_code,team,lap_number,position,lap_time_s,sector1_s,sector2_s,sector3_s,compound,tyre_age_laps,stint_id,pit_in_flag,pit_out_flag,safety_car_flag,virtual_sc_flag,grid_position,finish_position,pit_stop_duration_s,meteo_temp_c_annual_med,meteo_wind_ms_annual_med,lap_time_s_lag1,lap_time_s_lag2,lap_time_s_lag3,delta_lap_vs_prev,avg_last_3_laps,pit_in_next2
2024_bahrain,2024,Bahrain,ALO,Aston Martin,13,4.0,98.587,31.446,42.808,24.333,SOFT,16.0,1,0,0,0,0,6.0,9.0,,28.9,14.8,98.543,98.554,99.325,0.04399999999999693,98.80733333333335,1
2024_bahrain,2024,Bahrain,ALO,Aston Martin,14,3.0,98.612,31.516,42.741,24.355,SOFT,17.0,1,0,0,0,0,6.0,9.0,,28.9,14.8,98.587,98.543,98.554,0.024999999999991473,98.56133333333332,1
2024_bahrain,2024,Bahrain,ALO,Aston Martin,15,2.0,101.101,31.48,42.707,26.914,SOFT,18.0,1,1,0,0,0,6.0,9.0,,28.9,14.8,98.612,98.587,98.543,2.4890000000000043,98.58066666666667,0
2024_bahrain,2024,Bahrain,ALO,Aston Martin,16,10.0,118.814,52.462,42.357,23.995,HARD,1.0,2,0,1,0,0,6.0,9.0,24.862,28.9,14.8,101.101,98.612,98.587,17.712999999999994,99.43333333333334,0
2024_bahrain,2024,Bahrain,ALO,Aston Martin,17,9.0,96.97,30.546,42.572,23.852,HARD,2.0,2,0,0,0,0,6.0,9.0,,28.9,14.8,118.814,101.101,98.612,-21.843999999999994,106.17566666666666,0
2024_bahrain,2024,Bahrain,ALO,Aston Martin,18,9.0,97.361,31.136,42.381,23.844,HARD,3.0,2,0,0,0,0,6.0,9.0,,28.9,14.8,96.97,118.814,101.101,0.39100000000000534,105.62833333333333,0
2024_bahrain,2024,Bahrain,ALO,Aston Martin,19,9.0,97.072,30.967,42.236,23.869,HARD,4.0,2,0,0,0,0,6.0,9.0,,28.9,14.8,97.361,96.97,118.814,-0.2890000000000015,104.38166666666666,0
2024_bahrain,2024,Bahrain,ALO,Aston Martin,20,9.0,97.357,31.08,42.304,23.973,HARD,5.0,2,0,0,0,0,6.0,9.0,,28.9,14.8,97.072,97.361,96.97,0.2849999999999966,97.13433333333334,0
2024_bahrain,2024,Bahrain,ALO,Aston Martin,21,9.0,97.342,30.978,42.385,23.979,HARD,6.0,2,0,0,0,0,6.0,9.0,,28.9,14.8,97.357,97.072,97.361,-0.015000000000000568,97.26333333333334,0
2024_bahrain,2024,Bahrain,ALO,Aston Martin,22,9.0,97.122,30.882,42.371,23.869,HARD,7.0,2,0,0,0,0,6.0,9.0,,28.9,14.8,97.342,97.357,97.072,-0.21999999999999886,97.257,0
2024_bahrain,2024,Bahrain,ALO,Aston Martin,23,9.0,97.265,30.946,42.451,23.868,HARD,8.0,2,0,0,0,0,6.0,9.0,,28.9,14.8,97.122,97.342,97.357,0.14300000000000068,97.27366666666667,0
2024_bahrain,2024,Bahrain,ALO,Aston Martin,24,9.0,97.046,30.836,42.303,23.907,HARD,9.0,2,0,0,0,0,6.0,9.0,,28.9,14.8,97.265,97.122,97.342,-0.2189999999999941,97.243,0
2024_bahrain,2024,Bahrain,ALO,Aston Martin,25,9.0,97.179,30.925,42.232,24.022,HARD,10.0,2,0,0,0,0,6.0,9.0,,28.9,14.8,97.046,97.265,97.122,0.13299999999999557,97.14433333333334,0
2024_bahrain,2024,Bahrain,ALO,Aston Martin,26,9.0,97.638,31.295,42.393,23.95,HARD,11.0,2,0,0,0,0,6.0,9.0,,28.9,14.8,97.179,97.046,97.265,0.4590000000000032,97.16333333333334,0
2024_bahrain,2024,Bahrain,ALO,Aston Martin,27,9.0,96.945,31.0,42.032,23.913,HARD,12.0,2,0,0,0,0,6.0,9.0,,28.9,14.8,97.638,97.179,97.046,-0.693000000000012,97.28766666666667,0
2024_bahrain,2024,Bahrain,ALO,Aston Martin,28,9.0,97.256,31.091,42.208,23.957,HARD,13.0,2,0,0,0,0,6.0,9.0,,28.9,14.8,96.945,97.638,97.179,0.31100000000000705,97.254,0
2024_bahrain,2024,Bahrain,ALO,Aston Martin,29,9.0,97.104,30.948,42.237,23.919,HARD,14.0,2,0,0,0,0,6.0,9.0,,28.9,14.8,97.256,96.945,97.638,-0.15200000000000102,97.27966666666667,0
2024_bahrain,2024,Bahrain,ALO,Aston Martin,30,9.0,96.982,30.976,42.05,23.956,HARD,15.0,2,0,0,0,0,6.0,9.0,,28.9,14.8,97.104,97.256,96.945,-0.12199999999999989,97.10166666666667,0
2024_bahrain,2024,Bahrain,ALO,Aston Martin,31,9.0,96.957,30.866,42.192,23.899,HARD,16.0,2,0,0,0,0,6.0,9.0,,28.9,14.8,96.982,97.104,97.256,-0.025000000000005684,97.11399999999999,0
2024_bahrain,2024,Bahrain,ALO,Aston Martin,32,8.0,97.056,31.023,42.0,24.033,HARD,17.0,2,0,0,0,0,6.0,9.0,,28.9,14.8,96.957,96.982,97.104,0.09900000000000375,97.01433333333334,0
2024_bahrain,2024,Bahrain,ALO,Aston Martin,33,8.0,97.202,31.106,42.136,23.96,HARD,18.0,2,0,0,0,0,6.0,9.0,,28.9,14.8,97.056,96.957,96.982,0.1460000000000008,96.99833333333333,0
2024_bahrain,2024,Bahrain,ALO,Aston Martin,34,7.0,97.601,31.211,42.33,24.06,HARD,19.0,2,0,0,0,0,6.0,9.0,,28.9,14.8,97.202,97.056,96.957,0.3990000000000009,97.07166666666666,0
2024_bahrain,2024,Bahrain,ALO,Aston Martin,35,5.0,97.273,31.078,42.219,23.976,HARD,20.0,2,0,0,0,0,6.0,9.0,,28.9,14.8,97.601,97.202,97.056,-0.32800000000000296,97.28633333333333,0
2024_bahrain,2024,Bahrain,ALO,Aston Martin,36,7.0,98.343,31.245,42.631,24.467,HARD,21.0,2,0,0,0,0,6.0,9.0,,28.9,14.8,97.273,97.601,97.202,1.0700000000000074,97.35866666666668,0
2024_bahrain,2024,Bahrain,ALO,Aston Martin,37,7.0,96.799,30.5,42.284,24.015,HARD,22.0,2,0,0,0,0,6.0,9.0,,28.9,14.8,98.343,97.273,97.601,-1.543999999999997,97.73899999999999,0
2024_bahrain,2024,Bahrain,ALO,Aston Martin,38,7.0,97.297,30.952,42.212,24.133,HARD,23.0,2,0,0,0,0,6.0,9.0,,28.9,14.8,96.799,98.343,97.273,0.49799999999999045,97.47166666666665,0
2024_bahrain,2024,Bahrain,ALO,Aston Martin,39,8.0,97.946,31.253,42.438,24.255,HARD,24.0,2,0,0,0,0,6.0,9.0,,28.9,14.8,97.297,96.799,98.343,0.6490000000000009,97.47966666666667,1
2024_bahrain,2024,Bahrain,ALO,Aston Martin,40,9.0,98.061,31.525,42.36,24.176,HARD,25.0,2,0,0,0,0,6.0,9.0,,28.9,14.8,97.946,97.297,96.799,0.1150000000000091,97.34733333333334,1
2024_bahrain,2024,Bahrain,ALO,Aston Martin,41,9.0,100.261,31.046,42.415,26.8,HARD,26.0,2,1,0,0,0,6.0,9.0,,28.9,14.8,98.061,97.946,97.297,2.1999999999999886,97.76799999999999,0
2024_bahrain,2024,Bahrain,ALO,Aston Martin,42,11.0,116.899,52.077,41.387,23.435,HARD,1.0,3,0,1,0,0,6.0,9.0,25.061,28.9,14.8,100.261,98.061,97.946,16.638000000000005,98.75600000000001,0
2024_bahrain,2024,Bahrain,ALO,Aston Martin,43,11.0,95.107,30.517,41.055,23.535,HARD,2.0,3,0,0,0,0,6.0,9.0,,28.9,14.8,116.899,100.261,98.061,-21.792,105.07366666666667,0
2024_bahrain,2024,Bahrain,ALO,Aston Martin,44,10.0,94.981,30.334,41.382,23.265,HARD,3.0,3,0,0,0,0,6.0,9.0,,28.9,14.8,95.107,116.899,100.261,-0.12600000000000477,104.089,0
2024_bahrain,2024,Bahrain,ALO,Aston Martin,45,10.0,94.872,30.536,41.011,23.325,HARD,4.0,3,0,0,0,0,6.0,9.0,,28.9,14.8,94.981,95.107,116.899,-0.10899999999999466,102.329,0
2024_bahrain,2024,Bahrain,ALO,Aston Martin,46,10.0,95.126,30.468,41.232,23.426,HARD,5.0,3,0,0,0,0,6.0,9.0,,28.9,14.8,94.872,94.981,95.107,0.2540000000000049,94.98666666666668,0
2024_bahrain,2024,Bahrain,ALO,Aston Martin,47,10.0,95.225,30.596,41.183,23.446,HARD,6.0,3,0,0,0,0,6.0,9.0,,28.9,14.8,95.126,94.872,94.981,0.09899999999998954,94.993,0
2024_bahrain,2024,Bahrain,ALO,Aston Martin,48,9.0,94.199,30.046,40.806,23.347,HARD,7.0,3,0,0,0,0,6.0,9.0,,28.9,14.8,95.225,95.126,94.872,-1.0259999999999962,95.07433333333334,0
2024_bahrain,2024,Bahrain,ALO,Aston Martin,49,9.0,94.571,30.4,40.783,23.388,HARD,8.0,3,0,0,0,0,6.0,9.0,,28.9,14.8,94.199,95.225,95.126,0.3719999999999999,94.84999999999998,0
2024_bahrain,2024,Bahrain,ALO,Aston Martin,50,9.0,94.677,30.453,40.794,23.43,HARD,9.0,3,0,0,0,0,6.0,9.0,,28.9,14.8,94.571,94.199,95.225,0.10600000000000875,94.665,0
2024_bahrain,2024,Bahrain,ALO,Aston Martin,51,9.0,94.916,30.543,40.924,23.449,HARD,10.0,3,0,0,0,0,6.0,9.0,,28.9,14.8,94.677,94.571,94.199,0.2389999999999901,94.48233333333333,0
2024_bahrain,2024,Bahrain,ALO,Aston Martin,52,9.0,94.862,30.447,40.963,23.452,HARD,11.0,3,0,0,0,0,6.0,9.0,,28.9,14.8,94.916,94.677,94.571,-0.054000000000002046,94.72133333333333,0
2024_bahrain,2024,Bahrain,ALO,Aston Martin,53,9.0,95.249,30.498,41.106,23.645,HARD,12.0,3,0,0,0,0,6.0,9.0,,28.9,14.8,94.862,94.916,94.677,0.38700000000000045,94.81833333333333,0
2024_bahrain,2024,Bahrain,ALO,Aston Martin,54,9.0,95.745,30.701,41.444,23.6,HARD,13.0,3,0,0,0,0,6.0,9.0,,28.9,14.8,95.249,94.862,94.916,0.4960000000000093,95.009,0
2024_bahrain,2024,Bahrain,ALO,Aston Martin,55,9.0,95.066,30.478,41.126,23.462,HARD,14.0,3,0,0,0,0,6.0,9.0,,28.9,14.8,95.745,95.249,94.862,-0.679000000000002,95.28533333333333,0
